"Subject","Updating_P1.mistakes","Updating2_P1.mistakes","Boxes_P1.mistakes","Grid_Distance","Inh.grid.correct","StopSignal_trimmed_change_latency","Inh.cylinders.correct","Inh.boxes.correct","Shifting.tray.correct.S2","shelf_switches","SD","SR","CD","ID","ED","EDSD"
"Ajabu",1.25,0.833333333333333,0.75,1.09408251683333,0.583333333333333,2148,0.583333333333333,0.5,0.458333333333333,2,0.538461538461538,0.125,0.727272727272727,1,0.45,0.6875
"Akela",2,0.666666666666667,0.625,1.60223106341667,0.416666666666667,1354,0.5,0.125,0.416666666666667,7,0.611111111111111,0,0.823529411764706,0.857142857142857,0.5,0.416666666666667
"Alikaka",1.25,NA,0.5,1.41257038475,0.416666666666667,2387,0.5,0.208333333333333,0.666666666666667,5,0.666666666666667,0.166666666666667,0.615384615384615,0.857142857142857,0.45,0.708333333333333
"Alley",1,1,0.75,1.18688672391667,0.416666666666667,4451,0.625,0.125,0.583333333333333,8,0.533333333333333,0.291666666666667,0.857142857142857,0.857142857142857,0.55,0.5625
"Amahirwe",1.75,1.83333333333333,0.75,1.19171358983333,0.416666666666667,1534,0.583333333333333,0.125,0.625,8,0.636363636363636,0,0.666666666666667,0.857142857142857,0.475,0.5
"Amizero",1.5,0.666666666666667,0.625,1.38752346158333,0.25,4694,0.583333333333333,0.166666666666667,0.625,4,0.685714285714286,0.125,0.769230769230769,0.818181818181818,0.475,0.458333333333333
"Angela",1.75,1,0.875,1.407195793,0.333333333333333,1892,0.708333333333333,0.208333333333333,0.5,3,0.722222222222222,0.333333333333333,0.727272727272727,0.875,0.525,0.416666666666667
"Bahati",1.75,1.16666666666667,0.5,1.41311811058333,0.5,1838,0.416666666666667,0.375,0.666666666666667,4,0.529411764705882,0.375,0.785714285714286,0.777777777777778,0.5,0.458333333333333
"Cheetah",0.75,0.666666666666667,0.625,1.15774351875,0.333333333333333,2306,0.529411764705882,0.0833333333333333,0.5,7,0.666666666666667,0.0416666666666667,0.55,0.75,0.475,0.541666666666667
"Chipie",3,0.833333333333333,0.875,1.39289805333333,0.5,3319,0.833333333333333,0.4,0.583333333333333,8,0.558823529411765,0.0416666666666667,0.705882352941177,0.666666666666667,0.5,0.625
"Dufatanya",1.25,0.833333333333333,0.625,1.22085679491667,0.333333333333333,852,0.375,0.333333333333333,0.541666666666667,4,0.666666666666667,0.208333333333333,0.476190476190476,0.857142857142857,0.425,0.5
"Edvard",1.25,1,0.875,1.216760513,NA,1283,NA,0.0833333333333333,0.625,6,0.459459459459459,0.0416666666666667,0.636363636363636,1,0.55,0.583333333333333
"Jane",2.25,0.833333333333333,0.875,1.68333816783333,0.416666666666667,1988,NA,0.333333333333333,0.833333333333333,2,0.777777777777778,0.9,0.789473684210526,0.846153846153846,0.6,0.5
"Joy",1.5,0.666666666666667,0.625,1.48105825266667,0.333333333333333,2226,0.666666666666667,0.208333333333333,0.708333333333333,6,0.533333333333333,0.25,0.769230769230769,0.722222222222222,0.55,0.375
"Judy",1.5,1,0.75,1.10892798225,0.583333333333333,2791,0.411764705882353,0.25,0.333333333333333,1,0.692307692307692,0.5,0.764705882352941,0.785714285714286,0.5,0.416666666666667
"Julia",1,1,0.625,1.03989238858333,0.333333333333333,NA,0.541666666666667,0.166666666666667,0.708333333333333,NA,0.590909090909091,0.291666666666667,0.692307692307692,0.823529411764706,0.425,0.458333333333333
"Kisa",1.25,0.666666666666667,0.375,1.26020145775,0.3,2431,0.625,0.458333333333333,0.791666666666667,7,0.560606060606061,0.458333333333333,0.625,0.785714285714286,0.525,0.625
"Manno",1.5,0.833333333333333,0.625,1.275594649,0.583333333333333,1246,0.625,0.0416666666666667,0.75,5,0.727272727272727,0.291666666666667,0.818181818181818,0.857142857142857,0.5,0.666666666666667
"Mary",2,1.2,0.625,1.22533715118182,0.0833333333333333,1554,0.25,0.291666666666667,0.5,6,0.684210526315789,0.125,0.764705882352941,0.857142857142857,0.525,0.583333333333333
"Mwanzo",2,1.2,0.75,0.941713589833333,0.5,1790,0.416666666666667,0.375,0.5,NA,0.571428571428571,0.0416666666666667,0.545454545454545,0.75,0.525,0.692307692307692
"Niyonkuru",1.25,1.33333333333333,0.5,1.17204125841667,0.25,NA,0.458333333333333,0.333333333333333,0.5,7,0.650793650793651,0.166666666666667,0.636363636363636,1,0.45,0.5
"Oscar",2.5,1,0.625,1.49107685216667,0.166666666666667,1445,0.583333333333333,0.333333333333333,0.5,2,0.5625,0.375,0.681818181818182,0.857142857142857,0.425,0.541666666666667
"Roy",1.75,0.833333333333333,0.375,1.3632071225,0.5,2342,0.708333333333333,0.25,0.75,8,0.5,0.0769230769230769,0.615384615384615,1,0.5,0.777777777777778
"Safari",0,NA,0.625,1.08793332383333,0.5,3518,0.458333333333333,0.1875,NA,NA,0.5,0.0416666666666667,0.692307692307692,0.75,0.6,0.4
"Tess",1.25,1.33333333333333,0.75,1.83980726908333,0.416666666666667,1454,0.833333333333333,0.0833333333333333,0.5,6,0.541666666666667,NA,0.583333333333333,0.909090909090909,0.525,0.5
"Uruhara",1,0.666666666666667,0.5,1.39212345208333,0.333333333333333,2056,0.625,0.291666666666667,0.833333333333333,9,0.625,0.125,0.722222222222222,0.785714285714286,0.6,0.416666666666667
"William",1.5,0.5,0.625,1.43688672383333,0.25,2156,0.208333333333333,0.208333333333333,0.625,6,0.857142857142857,0.8,0.75,1,0.5,1
"Zee",2,1,0.75,1.20655905525,0.333333333333333,4295,0.375,0.333333333333333,0.458333333333333,4,0.652173913043478,0.0416666666666667,0.565217391304348,0.888888888888889,0.5,0.625
"George",NA,NA,NA,NA,0.363636363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saidia",NA,NA,NA,NA,0.272727272727273,4830,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
