"Subject","Inh.grid.correct","Inh.grid.correct1","Inh.grid.correct2","Inh.cylinders.correct","Inh.cylinders.correct1","Inh.cylinders.correct2","Inh.boxes.correct","Inh.boxes.correct1","Inh.boxes.correct2"
"Ajabu",0.583333333333333,0.666666666666667,0.5,0.583333333333333,0.5,0.666666666666667,0.5,0.5,0.5
"Akela",0.416666666666667,0.166666666666667,0.666666666666667,0.5,0.416666666666667,0.583333333333333,0.125,0.166666666666667,0.0833333333333333
"Alikaka",0.416666666666667,0.333333333333333,0.5,0.5,0.416666666666667,0.583333333333333,0.208333333333333,0.0833333333333333,0.333333333333333
"Alley",0.416666666666667,0.5,0.333333333333333,0.625,0.416666666666667,0.833333333333333,0.125,0.25,0
"Amahirwe",0.416666666666667,0.5,0.333333333333333,0.583333333333333,0.333333333333333,0.833333333333333,0.125,0,0.25
"Amizero",0.25,0.5,0,0.583333333333333,0.5,0.666666666666667,0.166666666666667,0,0.333333333333333
"Angela",0.333333333333333,0.166666666666667,0.5,0.708333333333333,0.416666666666667,1,0.208333333333333,0.0833333333333333,0.333333333333333
"Asega",0.75,0.666666666666667,0.833333333333333,0.791666666666667,0.583333333333333,1,0.0833333333333333,0,0.166666666666667
"Bahati",0.5,0.333333333333333,0.666666666666667,0.416666666666667,0.5,0.333333333333333,0.375,0.25,0.5
"Baluku",0.5,0.666666666666667,0.333333333333333,0.791666666666667,0.583333333333333,1,0.208333333333333,0.166666666666667,0.25
"Becky",0.666666666666667,0.833333333333333,0.5,0.791666666666667,0.666666666666667,0.916666666666667,0.416666666666667,0.333333333333333,0.5
"Bili",0.666666666666667,0.666666666666667,0.666666666666667,0.625,0.5,0.75,0,0,0
"Bwambale",0.416666666666667,0.333333333333333,0.5,0.541666666666667,0.5,0.583333333333333,0,0,0
"Cheetah",0.333333333333333,0.333333333333333,0.333333333333333,0.529411764705882,0.5,0.6,0.0833333333333333,0.0833333333333333,0.0833333333333333
"Chipie",0.5,0.5,0.5,0.833333333333333,0.75,0.916666666666667,0.4,0.333333333333333,0.461538461538462
"Cocoa",0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.333333333333333,0.666666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333
"Dufatanya",0.333333333333333,0.333333333333333,0.333333333333333,0.375,0.25,0.5,0.333333333333333,0.25,0.416666666666667
"George",0.363636363636364,0.5,0.2,NA,NA,NA,NA,NA,NA
"Indi",0.5,0.5,0.5,0.541666666666667,0.416666666666667,0.666666666666667,0.125,0.0833333333333333,0.166666666666667
"Jane",0.416666666666667,0.333333333333333,0.5,NA,NA,NA,0.333333333333333,0.25,0.416666666666667
"Joy",0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.208333333333333,0.0833333333333333,0.333333333333333
"Judy",0.583333333333333,0.666666666666667,0.5,0.411764705882353,0.428571428571429,0.4,0.25,0.416666666666667,0.0833333333333333
"Julia",0.333333333333333,0.5,0.166666666666667,0.541666666666667,0.333333333333333,0.75,0.166666666666667,0.0833333333333333,0.25
"Kalema",0.416666666666667,0.5,0.333333333333333,0.708333333333333,0.583333333333333,0.833333333333333,0.125,0.0833333333333333,0.166666666666667
"Kidogo",0.666666666666667,0.5,0.833333333333333,0.666666666666667,0.5,0.833333333333333,0.291666666666667,0.166666666666667,0.416666666666667
"Kisa",0.3,0.333333333333333,0.25,0.625,0.5,0.75,0.458333333333333,0.416666666666667,0.5
"Kisembo",0.583333333333333,0.5,0.666666666666667,0.583333333333333,0.416666666666667,0.75,0.25,0.166666666666667,0.333333333333333
"Manno",0.583333333333333,0.5,0.666666666666667,0.625,0.416666666666667,0.833333333333333,0.0416666666666667,0,0.0833333333333333
"Mary",0.0833333333333333,0,0.166666666666667,0.25,0.25,0.25,0.291666666666667,0.25,0.333333333333333
"Mawa",0.5,0.5,0.5,0.458333333333333,0.416666666666667,0.5,0.25,0,0.5
"Medina",0.583333333333333,0.666666666666667,0.5,0.5,0.5,0.5,0.166666666666667,0.166666666666667,0.166666666666667
"Mwanzo",0.5,0.333333333333333,0.666666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.375,0.416666666666667,0.333333333333333
"Nakuu",0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.583333333333333,0.777777777777778,0.0833333333333333,0,0.166666666666667
"Namukisa",0.666666666666667,0.833333333333333,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.291666666666667,0.25,0.333333333333333
"Nani",0.666666666666667,0.833333333333333,0.5,0.625,0.5,0.75,0.0416666666666667,0,0.0833333333333333
"Niyonkuru",0.25,0.333333333333333,0.166666666666667,0.458333333333333,0.416666666666667,0.5,0.333333333333333,0.333333333333333,0.333333333333333
"Nkuumwa",0.666666666666667,0.833333333333333,0.5,0.708333333333333,0.583333333333333,0.833333333333333,0.333333333333333,0.333333333333333,0.333333333333333
"Okech",0.666666666666667,0.666666666666667,0.666666666666667,0.583333333333333,0.5,0.666666666666667,0,0,0
"Oscar",0.166666666666667,0,0.333333333333333,0.583333333333333,0.583333333333333,0.583333333333333,0.333333333333333,0.25,0.416666666666667
"Pasa",0.416666666666667,0.333333333333333,0.5,0.461538461538462,0.375,0.6,0,0,0
"Rambo",0.583333333333333,0.5,0.666666666666667,0.5,0.333333333333333,0.666666666666667,0,0,0
"Roy",0.5,0.5,0.5,0.708333333333333,0.416666666666667,1,0.25,0.0833333333333333,0.416666666666667
"Safari",0.5,0.5,0.5,0.458333333333333,0.416666666666667,0.5,0.1875,0.0833333333333333,0.5
"Saidia",0.272727272727273,0.333333333333333,0.2,0.5,0.166666666666667,0.666666666666667,NA,NA,NA
"Sally",0.583333333333333,0.5,0.666666666666667,0.791666666666667,0.666666666666667,0.916666666666667,0.291666666666667,0.416666666666667,0.166666666666667
"Sara",0.5,0.5,0.5,0.458333333333333,0.416666666666667,0.5,0.333333333333333,0.25,0.416666666666667
"Tess",0.416666666666667,0.5,0.333333333333333,0.833333333333333,0.666666666666667,1,0.0833333333333333,0.0833333333333333,0.0833333333333333
"Tumbo",0.5,0.333333333333333,0.666666666666667,0.625,0.666666666666667,0.583333333333333,0.333333333333333,0.333333333333333,0.333333333333333
"Umugenzi",0.416666666666667,0.5,0.333333333333333,0.541666666666667,0.416666666666667,0.666666666666667,0.0833333333333333,0,0.166666666666667
"Umutama",0.5,0.5,0.5,0.583333333333333,0.583333333333333,0.583333333333333,0.0416666666666667,0,0.0833333333333333
"Uruhara",0.333333333333333,0.166666666666667,0.5,0.625,0.583333333333333,0.666666666666667,0.291666666666667,0.25,0.333333333333333
"William",0.25,0.166666666666667,0.333333333333333,0.208333333333333,0.166666666666667,0.25,0.208333333333333,0,0.416666666666667
"Yoyo",0.583333333333333,0.666666666666667,0.5,0.541666666666667,0.5,0.583333333333333,0.208333333333333,0,0.416666666666667
"Zee",0.333333333333333,0.333333333333333,0.333333333333333,0.375,0.333333333333333,0.416666666666667,0.333333333333333,0.25,0.416666666666667
"Edvard",NA,NA,NA,NA,NA,NA,0.0833333333333333,0.166666666666667,0
