"Subject","Shifting.tray.correct.S2","shelf_switches","SD","SR","CD","ID","ED","EDSD"
"Ajabu",0.458333333333333,2,0.538461538461538,0.125,0.727272727272727,1,0.45,0.6875
"Akela",0.416666666666667,7,0.611111111111111,0,0.823529411764706,0.857142857142857,0.5,0.416666666666667
"Alikaka",0.666666666666667,5,0.666666666666667,0.166666666666667,0.615384615384615,0.857142857142857,0.45,0.708333333333333
"Alley",0.583333333333333,8,0.533333333333333,0.291666666666667,0.857142857142857,0.857142857142857,0.55,0.5625
"Amahirwe",0.625,8,0.636363636363636,0,0.666666666666667,0.857142857142857,0.475,0.5
"Amizero",0.625,4,0.685714285714286,0.125,0.769230769230769,0.818181818181818,0.475,0.458333333333333
"Angela",0.5,3,0.722222222222222,0.333333333333333,0.727272727272727,0.875,0.525,0.416666666666667
"Bahati",0.666666666666667,4,0.529411764705882,0.375,0.785714285714286,0.777777777777778,0.5,0.458333333333333
"Cheetah",0.5,7,0.666666666666667,0.0416666666666667,0.55,0.75,0.475,0.541666666666667
"Chipie",0.583333333333333,8,0.558823529411765,0.0416666666666667,0.705882352941177,0.666666666666667,0.5,0.625
"Dufatanya",0.541666666666667,4,0.666666666666667,0.208333333333333,0.476190476190476,0.857142857142857,0.425,0.5
"Edvard",0.625,6,0.459459459459459,0.0416666666666667,0.636363636363636,1,0.55,0.583333333333333
"Jane",0.833333333333333,2,0.777777777777778,0.9,0.789473684210526,0.846153846153846,0.6,0.5
"Joy",0.708333333333333,6,0.533333333333333,0.25,0.769230769230769,0.722222222222222,0.55,0.375
"Judy",0.333333333333333,1,0.692307692307692,0.5,0.764705882352941,0.785714285714286,0.5,0.416666666666667
"Julia",0.708333333333333,NA,0.590909090909091,0.291666666666667,0.692307692307692,0.823529411764706,0.425,0.458333333333333
"Kisa",0.791666666666667,7,0.560606060606061,0.458333333333333,0.625,0.785714285714286,0.525,0.625
"Manno",0.75,5,0.727272727272727,0.291666666666667,0.818181818181818,0.857142857142857,0.5,0.666666666666667
"Mary",0.5,6,0.684210526315789,0.125,0.764705882352941,0.857142857142857,0.525,0.583333333333333
"Mwanzo",0.5,NA,0.571428571428571,0.0416666666666667,0.545454545454545,0.75,0.525,0.692307692307692
"Niyonkuru",0.5,7,0.650793650793651,0.166666666666667,0.636363636363636,1,0.45,0.5
"Oscar",0.5,2,0.5625,0.375,0.681818181818182,0.857142857142857,0.425,0.541666666666667
"Roy",0.75,8,0.5,0.0769230769230769,0.615384615384615,1,0.5,0.777777777777778
"Safari",NA,NA,0.5,0.0416666666666667,0.692307692307692,0.75,0.6,0.4
"Saidia",NA,NA,NA,NA,NA,NA,NA,NA
"Tess",0.5,6,0.541666666666667,NA,0.583333333333333,0.909090909090909,0.525,0.5
"Uruhara",0.833333333333333,9,0.625,0.125,0.722222222222222,0.785714285714286,0.6,0.416666666666667
"William",0.625,6,0.857142857142857,0.8,0.75,1,0.5,1
"Zee",0.458333333333333,4,0.652173913043478,0.0416666666666667,0.565217391304348,0.888888888888889,0.5,0.625
