"Subject","Updating_P1.mistakes","Updating2_P1.mistakes","Boxes_P1.mistakes","Grid_Distance"
"Ajabu",1.25,0.833333333333333,0.75,1.09408251683333
"Akela",2,0.666666666666667,0.625,1.60223106341667
"Alikaka",1.25,NA,0.5,1.41257038475
"Alley",1,1,0.75,1.18688672391667
"Amahirwe",1.75,1.83333333333333,0.75,1.19171358983333
"Amizero",1.5,0.666666666666667,0.625,1.38752346158333
"Angela",1.75,1,0.875,1.407195793
"Asega",0.5,NA,0.625,1.45820612508333
"Bahati",1.75,1.16666666666667,0.5,1.41311811058333
"Baluku",1,NA,0.5,0.735702260333333
"Becky",1.75,NA,0.625,1.211933647
"Bili",1.5,NA,0.625,1.4428090415
"Bwambale",1,NA,0.375,0.936886723833333
"Cheetah",0.75,0.666666666666667,0.625,1.15774351875
"Chipie",3,0.833333333333333,0.875,1.39289805333333
"Cocoa",1.5,NA,0.75,1.02022005716667
"Dufatanya",1.25,0.833333333333333,0.625,1.22085679491667
"Edvard",1.25,1,0.875,1.216760513
"Indi",0.75,NA,0.375,1.25647393575
"Jane",2.25,0.833333333333333,0.875,1.68333816783333
"Joy",1.5,0.666666666666667,0.625,1.48105825266667
"Judy",1.5,1,0.75,1.10892798225
"Julia",1,1,0.625,1.03989238858333
"Kalema",1.75,NA,0.5,1.19171358983333
"Kidogo",1.75,NA,0.75,1.06903559366667
"Kisa",1.25,0.666666666666667,0.375,1.26020145775
"Kisembo",2.5,NA,0.75,0.652368927
"Manno",1.5,0.833333333333333,0.625,1.275594649
"Mary",2,1.2,0.625,1.22533715118182
"Mawa",2,NA,0.625,1.35520046025
"Medina",2,NA,0.625,1.30956472
"Mwanzo",2,1.2,0.75,0.941713589833333
"Nakuu",0.5,NA,0.375,1.30956472
"Namukisa",1.75,NA,0.375,1.01967233141667
"Nani",1,NA,0.375,1.08925565083333
"Niyonkuru",1.25,1.33333333333333,0.5,1.17204125841667
"Nkuumwa",1.25,NA,0.5,0.7011844635
"Okech",0.75,NA,0.5,1.29526698041667
"Oscar",2.5,1,0.625,1.49107685216667
"Pasa",1.75,NA,0.625,0.956559055333333
"Rambo",2.75,NA,0.25,1.60760565516667
"Roy",1.75,0.833333333333333,0.375,1.3632071225
"Safari",0.5,NA,0.625,1.08793332383333
"Sally",2,NA,0.75,1.32386245966667
"Sara",0.75,NA,0.75,1.32441018541667
"Tess",1.25,1.33333333333333,0.75,1.83980726908333
"Tumbo",1.25,NA,0.75,1.79526698033333
"Umugenzi",1,NA,0.5,0.922588984166667
"Umutama",1.5,NA,0.5,1.58753097627273
"Uruhara",1,0.666666666666667,0.5,1.39212345208333
"William",1.5,0.5,0.625,1.43688672383333
"Yoyo",0.75,NA,0.75,1.68721146658333
"Zee",2,1,0.75,1.20655905525
