Subject,Site,Sex,Group,Age,Date,Day,Condition,Number_boxes,Trial_number,P1_1st,P2_1st,P1_2nd,P1_2nd_c,P2_2nd,P2_2nd_c,P1_3rd,P1_3rd_c,P2_3rd,P2_3rd_c,P1_4th,P1_4th_c,P2_4th,P2_4th_c,P1_5th,P1_5th_c,P2_5th,P2_5th_c,P1_6th,P1_6th_c,P2_6th,P2_6th_c,P1_7th,P1_7th_c,Comment
Roy,kenya,m,young chimps,11,07/10/2018,2,two_platform:identical_boxes,8,1,2,2,2,0,2,0,2,0,2,0,3,1,1,1,2,0,2,0,,,,,,,
Roy,kenya,m,young chimps,11,07/10/2018,2,two_platform:identical_boxes,8,2,4,2,3,1,2,0,3,0,1,1,4,0,2,0,3,0,2,0,,,,,,,
Roy,kenya,m,young chimps,11,07/10/2018,2,two_platform:identical_boxes,8,3,3,1,4,1,3,1,4,0,3,0,3,0,3,0,2,1,1,0,3,0,,,,,
Roy,kenya,m,young chimps,11,07/10/2018,2,two_platform:identical_boxes,8,4,3,3,4,1,3,0,4,0,3,0,2,1,1,1,3,0,1,0,2,0,,,,,
Chipie,kenya,f,young chimps,27,09/10/2018,2,two_platform:identical_boxes,8,1,4,2,4,0,3,1,4,0,2,0,4,0,3,0,4,0,4,1,4,0,,,,,
Chipie,kenya,f,young chimps,27,09/10/2018,2,two_platform:identical_boxes,8,2,4,3,4,0,3,0,4,0,2,1,4,0,3,0,4,0,,,,,,,,,
Chipie,kenya,f,young chimps,27,09/10/2018,2,two_platform:identical_boxes,8,3,4,3,4,0,3,0,4,0,3,0,4,0,4,1,4,0,,,,,,,,,
Chipie,kenya,f,young chimps,27,09/10/2018,2,two_platform:identical_boxes,8,4,4,4,4,0,4,0,4,0,3,1,4,0,3,0,4,0,,,,,,,,,
Bahati,kenya,f,young chimps,25,07/11/2018,2,two_platform:identical_boxes,8,1,4,2,2,1,1,1,2,0,3,1,2,0,3,0,1,1,4,1,4,0,,,,,
Bahati,kenya,f,young chimps,25,07/11/2018,2,two_platform:identical_boxes,8,2,2,1,2,0,1,0,4,1,4,1,4,0,4,0,3,1,1,0,3,0,,,,,
Bahati,kenya,f,young chimps,25,07/11/2018,2,two_platform:identical_boxes,8,3,2,2,4,1,2,0,4,0,3,1,3,1,3,0,4,0,1,1,4,0,1,0,,,
Bahati,kenya,f,young chimps,25,07/11/2018,2,two_platform:identical_boxes,8,4,1,1,3,1,2,1,1,0,3,1,3,0,4,1,2,1,,,,,,,,,
Joy,kenya,f,young chimps,14,07/11/2018,2,two_platform:identical_boxes,8,1,3,2,3,0,2,0,3,0,4,1,4,1,4,0,4,0,4,0,,,,,,,
Joy,kenya,f,young chimps,14,07/11/2018,2,two_platform:identical_boxes,8,2,2,1,4,1,4,1,1,1,1,0,4,0,4,0,3,1,3,1,,,,,,,
Joy,kenya,f,young chimps,14,07/11/2018,2,two_platform:identical_boxes,8,3,3,4,4,1,4,0,2,1,4,0,3,0,1,1,1,1,3,1,,,,,,,
Joy,kenya,f,young chimps,14,07/11/2018,2,two_platform:identical_boxes,8,4,3,3,1,1,4,1,1,0,4,0,3,0,3,0,4,1,4,0,4,0,,,,,
Alley,kenya,f,old chimps,31,10/11/2018,2,two_platform:identical_boxes,8,1,2,2,4,1,2,0,4,0,2,0,4,0,3,1,3,1,3,0,4,0,,,,,
Alley,kenya,f,old chimps,31,10/11/2018,2,two_platform:identical_boxes,8,2,2,2,4,1,3,1,1,1,4,1,3,1,3,0,,,,,,,,,,,
Alley,kenya,f,old chimps,31,10/11/2018,2,two_platform:identical_boxes,8,3,2,3,2,0,2,1,1,1,3,0,4,1,3,0,1,0,3,0,2,0,,,,,
Alley,kenya,f,old chimps,31,10/11/2018,2,two_platform:identical_boxes,8,4,3,4,2,1,3,1,3,0,3,0,1,1,4,0,1,0,1,1,1,0,2,1,2,0,
Pasa,uganda,f,Uganda,19,13/10/2019,2,two_platform:identical_boxes,8,1,3,4,4,1,4,0,3,0,3,1,3,0,3,0,3,0,3,0,,,,,,,
Pasa,uganda,f,Uganda,19,13/10/2019,2,two_platform:identical_boxes,8,2,4,4,3,1,4,0,3,0,3,1,3,0,4,0,3,0,2,1,3,0,,,,,
Pasa,uganda,f,Uganda,19,13/10/2019,2,two_platform:identical_boxes,8,3,2,3,3,1,3,0,2,0,1,1,3,0,1,0,1,1,3,0,1,0,,,,,
Pasa,uganda,f,Uganda,19,13/10/2019,2,two_platform:identical_boxes,8,4,2,2,1,1,3,1,3,1,2,0,1,0,3,0,4,1,3,0,,,,,,,
Mawa,uganda,m,Uganda,23,02/11/2019,2,two_platform:identical_boxes,8,1,1,3,3,1,3,0,2,1,2,1,3,0,3,0,3,0,1,1,3,0,3,0,,,
Mawa,uganda,m,Uganda,23,02/11/2019,2,two_platform:identical_boxes,8,2,3,4,3,0,3,1,3,0,3,0,1,1,2,1,2,1,2,0,2,0,3,0,,,
Mawa,uganda,m,Uganda,23,02/11/2019,2,two_platform:identical_boxes,8,3,3,3,3,0,1,1,3,0,1,0,3,0,2,1,3,0,4,1,3,0,,,,,
Mawa,uganda,m,Uganda,23,02/11/2019,2,two_platform:identical_boxes,8,4,3,4,3,0,3,1,2,1,3,0,3,0,4,0,2,0,2,1,2,0,,,,,
Becky,uganda,f,Uganda,28,05/11/2019,2,two_platform:identical_boxes,8,1,2,3,3,1,4,1,3,0,3,0,3,0,3,0,3,0,4,0,,,,,,,
Becky,uganda,f,Uganda,28,05/11/2019,2,two_platform:identical_boxes,8,2,4,3,3,1,3,0,1,1,3,0,2,1,3,0,,,,,,,,,,,
Becky,uganda,f,Uganda,28,05/11/2019,2,two_platform:identical_boxes,8,3,3,2,3,0,1,1,3,0,4,1,3,0,1,0,3,0,4,0,,,,,,,
Becky,uganda,f,Uganda,28,05/11/2019,2,two_platform:identical_boxes,8,4,3,3,3,0,3,0,3,0,4,1,4,1,3,0,4,0,4,0,,,,,,,
Kalema,uganda,m,Uganda,23,05/11/2019,2,two_platform:identical_boxes,8,1,3,4,2,1,2,1,3,0,2,0,2,0,2,0,4,1,4,0,4,0,,,,,
Kalema,uganda,m,Uganda,23,05/11/2019,2,two_platform:identical_boxes,8,2,4,4,2,1,4,0,4,0,4,0,3,1,2,1,4,0,2,0,3,0,,,,,
Kalema,uganda,m,Uganda,23,05/11/2019,2,two_platform:identical_boxes,8,3,4,2,3,1,4,1,4,0,2,0,4,0,4,0,2,1,2,0,3,0,,,,,
Kalema,uganda,m,Uganda,23,05/11/2019,2,two_platform:identical_boxes,8,4,3,4,4,1,4,0,4,0,2,1,4,0,4,0,4,0,2,0,,,,,,,
Indi,uganda,m,Uganda,19,15/10/2019,2,two_platform:identical_boxes,8,1,4,4,1,1,1,1,3,1,3,1,1,0,4,0,2,1,3,0,,,,,,,
Indi,uganda,m,Uganda,19,15/10/2019,2,two_platform:identical_boxes,8,2,1,2,4,1,2,0,3,1,3,1,1,0,3,0,3,0,4,1,3,0,1,1,1,0,
Indi,uganda,m,Uganda,19,15/10/2019,2,two_platform:identical_boxes,8,3,1,4,4,1,1,1,1,0,3,1,3,1,4,0,1,0,1,0,3,0,4,0,,,
Indi,uganda,m,Uganda,19,15/10/2019,2,two_platform:identical_boxes,8,4,3,4,2,1,3,1,4,1,3,0,1,1,3,0,,,,,,,,,,,
Zee,kenya,m,old chimps,18,13/10/2018,2,two_platform:identical_boxes,8,1,3,4,3,0,4,0,4,1,1,1,3,0,4,0,4,0,4,0,,,,,,,
Zee,kenya,m,old chimps,18,13/10/2018,2,two_platform:identical_boxes,8,2,4,4,4,0,4,0,4,0,1,1,4,0,4,0,3,1,4,0,,,,,,,
Zee,kenya,m,old chimps,18,13/10/2018,2,two_platform:identical_boxes,8,3,4,2,3,1,4,1,4,0,4,0,3,0,4,0,3,0,4,0,,,,,,,
Zee,kenya,m,old chimps,18,13/10/2018,2,two_platform:identical_boxes,8,4,4,4,4,0,4,0,3,1,4,0,2,1,4,0,4,0,2,1,3,0,,,,,
